date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.8,10.22,1.53,1.27,3.49,2.51,317
2019-12-10T00:00:00.000Z,2.04,10.75,3.7,3.02,7.72,2.476,414
2019-12-11T00:00:00.000Z,2.54,9.05,3.72,3.28,4.91,1.351,429
2019-12-12T00:00:00.000Z,6.66,25.94,14.51,10.54,17.63,4.451,493
2019-12-13T00:00:00.000Z,11.4,32.14,18.76,15.23,24.28,5.356,565
2019-12-14T00:00:00.000Z,0.65,18.32,4.05,2.18,13.74,5.891,402
2019-12-15T00:00:00.000Z,0.62,3.32,1.55,1.18,2.04,0.617,577
2019-12-16T00:00:00.000Z,1.28,4.5,1.95,1.62,2.48,0.53,290
2019-12-17T00:00:00.000Z,4.84,31.88,7.24,6.68,7.65,7.196,291
2019-12-18T00:00:00.000Z,0.48,12.95,3.52,1.19,5.96,2.928,472
2019-12-19T00:00:00.000Z,3.99,110.75,21.89,8.24,40.96,22.565,556
2019-12-20T00:00:00.000Z,9.24,66.95,23.39,20.65,26.02,10.835,586
2019-12-21T00:00:00.000Z,1.66,34,12.17,5.48,19.82,8.911,572
2019-12-22T00:00:00.000Z,7.91,23.9,18.23,13.89,20.62,4.038,588
2019-12-23T00:00:00.000Z,3.32,18.25,9.36,5.92,13.37,4.139,587
2019-12-24T00:00:00.000Z,1.95,17.23,4.72,3.55,6.81,2.818,589
2019-12-25T00:00:00.000Z,2.93,15.5,7.22,5.85,9.41,2.508,585
2019-12-26T00:00:00.000Z,2.74,13.78,6.73,4.98,9.09,2.795,586
2019-12-27T00:00:00.000Z,1.05,15.04,3.8,2.83,6.46,2.912,589
2019-12-28T00:00:00.000Z,0.74,18.7,2.25,1.34,4.75,2.509,588
2019-12-29T00:00:00.000Z,4.22,19.94,7.58,5.72,9.36,2.895,593
2019-12-30T00:00:00.000Z,2.04,9.25,3.36,2.86,5.14,1.722,583
2019-12-31T00:00:00.000Z,2.18,251.42,5.96,3.7,12.65,36.607,577
