date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.8,8.16,1.41,1.21,2.8,1.806,322
2019-12-10T00:00:00.000Z,1.62,9.53,2.79,2.27,4.53,1.436,412
2019-12-11T00:00:00.000Z,1.73,14.56,3.09,2.48,4.88,1.6,411
2019-12-12T00:00:00.000Z,5.96,32.03,11.65,9.61,15.26,3.539,492
2019-12-13T00:00:00.000Z,9.02,31.45,15.09,12.43,19.03,4.114,567
2019-12-14T00:00:00.000Z,0.64,17.14,3.79,1.79,11.59,5.385,404
2019-12-15T00:00:00.000Z,0.6,13.9,1.42,1.14,1.74,1.494,580
2019-12-16T00:00:00.000Z,1.13,17.32,1.75,1.45,2.18,1.47,291
2019-12-17T00:00:00.000Z,2.6,19.91,5.12,4.33,6.2,3.799,290
2019-12-18T00:00:00.000Z,0.65,19.25,1.9,1,2.84,3.325,466
2019-12-19T00:00:00.000Z,5.08,47.85,17.47,13.2,26.01,8.355,554
2019-12-20T00:00:00.000Z,7.22,48.68,22.23,15.05,25.68,6.987,590
2019-12-21T00:00:00.000Z,1.36,27.19,9.77,5.08,12.22,5.516,576
2019-12-22T00:00:00.000Z,9.82,41.6,14.42,13.1,15.74,2.768,586
2019-12-23T00:00:00.000Z,2.2,16,6.52,3.93,9.89,3.103,588
2019-12-24T00:00:00.000Z,1.8,16.14,3.6,2.78,5.25,2.477,592
2019-12-25T00:00:00.000Z,2.06,11.7,5.05,3.78,6.6,2.16,588
2019-12-26T00:00:00.000Z,1.86,10.4,5.72,4.21,6.6,1.91,589
2019-12-27T00:00:00.000Z,1.14,9.5,2.31,1.78,5.57,2.263,594
2019-12-28T00:00:00.000Z,0.75,6.82,1.42,1.13,2.35,1.181,591
2019-12-29T00:00:00.000Z,2.1,9.77,4.2,3.43,7.22,2.012,591
2019-12-30T00:00:00.000Z,1.54,8.69,2.8,2.29,4.91,1.837,589
2019-12-31T00:00:00.000Z,1.44,367.78,7.25,3.31,12.65,45.663,580
2020-01-01T00:00:00.000Z,3.38,82.84,12.8,8.34,17.53,9.245,591
2020-01-02T00:00:00.000Z,3.42,21.52,12.26,6.23,14.77,4.419,573
2020-01-03T00:00:00.000Z,1.05,164.27,7.1,5.56,9.69,8.488,551
2020-01-04T00:00:00.000Z,0.84,5.72,2.98,2.25,3.58,1.051,561
2020-01-05T00:00:00.000Z,1.72,33.51,3.07,2.48,3.96,2.017,563
2020-01-06T00:00:00.000Z,4.8,15.04,9.11,7.22,10.75,2.068,526
2020-01-07T00:00:00.000Z,8.97,24.48,15.4,13.02,17.92,3.668,528
2020-01-08T00:00:00.000Z,2.1,13.58,4.2,3.46,7.02,2.385,504
2020-01-09T00:00:00.000Z,3.15,24.4,13.56,7.49,16.02,5.043,535
2020-01-10T00:00:00.000Z,1.14,19.32,2.59,1.75,8.4,5.527,427
2020-01-11T00:00:00.000Z,0.98,8.94,1.98,1.45,3.12,1.318,536
2020-01-12T00:00:00.000Z,2.35,9.44,6.26,5.03,7.6,1.853,569
2020-01-13T00:00:00.000Z,1.45,16.37,5.18,3,7.32,2.823,488
2020-01-14T00:00:00.000Z,1.46,13.52,3.3,2.08,10.6,4.081,437
